MF,DeltaM,xso,xso/xsl,xss
100.0,10.0,0.459,0.624,0.7573
101.0,1.0,1.57,2.198,0.7315
102.0,2.0,0.235,0.33799999999999997,0.7056
103.0,3.0,0.228,0.33799999999999997,0.6835
105.0,5.0,0.193,0.302,0.6388
105.0,15.0,0.65,1.02,0.6388
110.0,10.0,0.452,0.818,0.5418
110.0,40.0,2.486,4.501,0.5438
115.0,15.0,0.539,1.127,0.4662
115.0,25.0,1.051,2.197,0.4658
120.0,60.0,1.801,4.3469999999999995,0.4026
120.0,50.0,3.412,8.235,0.4027
120.0,40.0,2.971,7.171,0.4022
120.0,30.0,1.021,2.465,0.4031
121.0,1.0,0.962,2.39,0.3901
122.0,2.0,0.196,0.501,0.3792
123.0,3.0,0.164,0.43200000000000005,0.369
125.0,25.0,0.945,2.636,0.3485
125.0,5.0,0.173,0.48100000000000004,0.3481
130.0,10.0,0.328,1.056,0.3031
130.0,40.0,1.606,5.1739999999999995,0.3041
135.0,15.0,0.408,1.52,0.2662
140.0,40.0,1.017,4.38,0.2341
140.0,20.0,0.383,1.65,0.2347
141.0,1.0,2.03,9.007,0.2283
142.0,2.0,0.155,0.7070000000000001,0.2237
143.0,3.0,0.115,0.54,0.2175
145.0,25.0,0.686,3.4219999999999997,0.2075
145.0,5.0,0.103,0.514,0.2066
150.0,10.0,0.201,1.161,0.1842
155.0,15.0,0.315,2.021,0.1632
160.0,60.0,0.791,5.636,0.1462
160.0,40.0,0.649,4.621,0.1458
160.0,20.0,0.397,2.83,0.1461
161.0,1.0,1.352,9.831,0.1429
162.0,2.0,0.163,1.2109999999999999,0.1396
163.0,3.0,0.091,0.691,0.1361
165.0,25.0,0.616,4.877,0.1312
165.0,5.0,0.095,0.755,0.131
170.0,10.0,0.208,1.8330000000000002,0.1173
180.0,60.0,0.708,7.711,0.09541
180.0,40.0,0.672,7.319,0.09551
180.0,20.0,0.282,3.068,0.09554
181.0,1.0,2.013,22.386,0.09374
182.0,2.0,0.185,2.0980000000000003,0.09186
183.0,3.0,0.083,0.9620000000000001,0.09003
185.0,25.0,0.278,3.362,0.08643
185.0,5.0,0.077,0.932,0.0864
190.0,10.0,0.138,1.865,0.07837
195.0,15.0,0.256,3.84,0.0713
200.0,60.0,1.122,18.717,0.06499
200.0,40.0,0.583,9.736,0.06483
200.0,20.0,0.194,3.2289999999999996,0.06497
201.0,1.0,1.7,28.861,0.06385
202.0,2.0,0.173,2.9930000000000003,0.06267
205.0,25.0,0.265,4.8180000000000005,0.05934
205.0,5.0,0.075,1.3630000000000002,0.0594
210.0,10.0,0.144,2.8480000000000003,0.05416
220.0,60.0,0.443,10.407,0.0457
220.0,40.0,0.309,7.265,0.04566
220.0,20.0,0.179,4.206,0.04553
240.0,60.0,1.128,37.406,0.03286
251.0,1.0,2.858,114.339,0.02765
255.0,5.0,0.062,2.6260000000000003,0.02609
260.0,10.0,0.105,4.785,0.02417
270.0,20.0,0.203,10.705,0.02082
71.0,1.0,1.933,0.54,2.565
75.0,5.0,0.447,0.155,2.092
80.0,10.0,0.736,0.335,1.655
90.0,60.0,3.722,2.926,1.094
90.0,50.0,10.552,8.295,1.093
90.0,40.0,21.037,16.537,1.091
90.0,30.0,1.934,1.521,1.092
90.0,25.0,1.393,1.095,1.093
90.0,20.0,1.025,0.8059999999999999,1.093
91.0,1.0,1.736,1.4409999999999998,1.047
92.0,2.0,0.274,0.24,1.011
93.0,3.0,0.333,0.308,0.9745
95.0,5.0,0.221,0.228,0.9039
70.5,0.5,59.661,16.233,2.626
